incident_no|incident_code|date_reported|status_code|occurred|location_code|address|stolen_value|lost_value|narrative
5000003||1/1/2005 0:33||between: 01/01/2005 00:33 and 01/01/2005 00:33||R ST & N 16TH ST|0.00|0.00|
5000005||1/1/2005 1:34||between: 01/01/2005 01:34 and 01/01/2005 01:34||P ST & N 16TH ST|0.00|0.00|
5000008||1/1/2005 15:30||between: 12/28/2004 14:00 and 12/31/2004 22:00||2 Devonshire Lane|0.00|0.00|
5000010||1/1/2005 19:40||between: 01/01/2005 19:40 and 01/01/2005 19:40||PEAR ST & N 29TH ST|0.00|0.00|
5000015||1/2/2005 16:58||between: 12/17/2004 08:30 and 12/17/2004 10:00|Beadle Center|1901 Vine St|0.00|0.00|
5000024||1/4/2005 10:08||between: 12/16/2004 15:00 and 12/20/2004 08:00|Kauffman Hall|630 North 14th St|0.00|0.00|
5000025||1/4/2005 12:29||between: 12/23/2004 22:00 and 12/23/2004 22:05||N 48TH ST|50.00|0.00|
5000030|LOST OR STOLEN ITEM|1/4/2005 23:43||between: 10/01/2004 00:00 and 12/21/2004 00:00|Burnett Hall|1220 T St|0.00|0.00|
5000035||1/6/2005 7:44||between: 01/06/2005 07:44 and 01/06/2005 07:44|Othmer Hall|820 North 16th St|0.00|0.00|
5000036|LOST OR STOLEN ITEM|1/6/2005 10:53||between: 01/06/2005 07:50 and 01/06/2005 09:00||City of Lincoln|75.00|0.00|
5000037||1/6/2005 12:37||between: 01/06/2005 11:39 and 01/06/2005 11:39|Stadium||0.00|0.00|
5000044||1/7/2005 1:16||between: 01/07/2005 01:16 and 01/07/2005 01:16||N 149TH ST & N 15TH ST|0.00|0.00|
5000045||1/7/2005 1:47||between: 01/07/2005 01:47 and 01/07/2005 01:47||P ST & N 18TH ST|0.00|0.00|
5000052||1/7/2005 13:29||between: 01/03/2005 08:00 and 01/06/2005 09:00|Hardin Hall|1600 North 33rd St|400.00|0.00|
5000053||1/7/2005 13:38||between: 12/24/2004 18:00 and 12/31/2004 07:00|Telecommunications Building|900 North 16th St|2000.00|0.00|
5000054||1/7/2005 16:10||between: 01/07/2005 08:30 and 01/07/2005 16:10|Beadle Center|1901 Vine St|0.00|0.00|
5000058||1/8/2005 1:14||between: 01/08/2005 01:14 and 01/08/2005 01:14||N 146TH ST & N 14TH ST|0.00|0.00|
5000064||1/8/2005 14:26||between: 01/07/2005 11:00 and 01/07/2005 13:30|College of Dentistry|3975 Potter St|0.00|0.00|
5000070||1/8/2005 23:19||between: 01/08/2005 22:14 and 01/08/2005 22:14|||0.00|0.00|
5000071||1/9/2005 1:17||between: 01/09/2005 01:17 and 01/09/2005 01:17|Andersen Hall|200 Centennial Mall North|0.00|0.00|
5000072||1/9/2005 3:45||between: 01/09/2005 02:24 and 01/09/2005 02:24||VINE ST & N 21ST ST|0.00|0.00|
5000085|FRAUD - CREDIT CARDS/ATM/BANK CARD|1/10/2005 13:50||between: 11/21/2004 15:27 and 11/21/2004 22:48|Nebraska Union|1400 R St|0.00|0.00|
5000086|ACCIDENTS - P.D. REPORTABLE|1/10/2005 14:08||between: 01/10/2005 14:00 and 01/10/2005 14:00||1640 Y St.|0.00|0.00|
5000089|LARCENY - FROM MOTOR VEHICLE|1/10/2005 15:04||between: 01/10/2005 08:00 and 01/10/2005 13:45||Parking lot|2.00|12.00|
5000090|ACCIDENTS - P.D. NOT REPORTABLE|1/10/2005 18:19||between: 01/10/2005 04:30 and 01/10/2005 16:00||Union Meter Parking Lot|0.00|0.00|
5000094|NARCOTICS - POSSESSION|1/10/2005 21:56||between: 01/10/2005 21:56 and 01/10/2005 21:56|Smith Hall|1120 N. 14th Street Room 922|0.00|0.00|
5000096|BURGLARY|1/11/2005 10:46||between: 01/07/2005 08:00 and 01/07/2005 12:00||400 University Terrace|410.00|0.00|
5000097|LARCENY - FROM BUILDING|1/11/2005 12:12||between: 01/10/2005 23:30 and 01/10/2005 23:40|Love Library North||235.00|0.00|
5000103|ALCOHOL - DWI|1/12/2005 0:42||Date: 01/12/2005 00:42||Q ST & N 16TH ST|0.00|0.00|
